university_name,normalized_name,country,year,source
Universidad Autónoma de Madrid,universidad autonoma de madrid,Spain,2017,QS
Technische Universität Dresden,technische universitat dresden,Germany,2017,QS
Tel Aviv University,tel aviv university,Israel,2017,QS
Technion - Israel Institute of Technology,technion israel institute of technology,Israel,2017,QS
University of Canterbury,university of canterbury,New Zealand,2017,QS
Georgetown University,georgetown university,United States,2017,QS
Keio University,keio university,Japan,2017,QS
Universite libre de Bruxelles,universite libre de bruxelles,Belgium,2017,QS
University of Wollongong,university of wollongong,Australia,2017,QS
Indian Institute of Technology Bombay (IITB),indian institute of technology bombay,India,2017,QS
Sciences Po ,sciences po,France,2017,QS
Université Paris-Sorbonne (Paris IV),universite paris sorbonne,France,2017,QS
Arizona State University,arizona state university,United States,2017,QS
Sapienza University of Rome,sapienza university of rome,Italy,2017,QS
Queen's University at Kingston,queen s university at kingston,Canada,2017,QS
University of Tsukuba,university of tsukuba,Japan,2017,QS
Simon Fraser University,simon fraser university,Canada,2017,QS
King Saud University,king saud university,Saudi Arabia,2017,QS
Université Paris 1 Panthéon-Sorbonne,universite paris 1 pantheon sorbonne,France,2017,QS
Victoria University of Wellington,victoria university of wellington,New Zealand,2017,QS
American University of Beirut (AUB),american university of beirut,Lebanon,2017,QS
Rheinische Friedrich-Wilhelms-Universität Bonn,rheinische friedrich wilhelms universitat bonn,Germany,2017,QS
Universität Hamburg,universitat hamburg,Germany,2017,QS
The University of Arizona,the university of arizona,United States,2017,QS
University of Turku,university of turku,Finland,2017,QS
Royal Holloway University of London,royal holloway university of london,United Kingdom,2017,QS
Al-Farabi Kazakh National University,al farabi kazakh national university,Kazakhstan,2017,QS
Loughborough University,loughborough university,United Kingdom,2017,QS
Tufts University,tufts university,United States,2017,QS
Complutense University of Madrid,complutense university of madrid,Spain,2017,QS
University of Leicester,university of leicester,United Kingdom,2017,QS
National Cheng Kung University (NCKU),national cheng kung university,Taiwan,2017,QS
Université Paris-Saclay,universite paris saclay,France,2017,QS
National Taiwan University of Science and Technology (Taiwan Tech),national taiwan university of science and technology,Taiwan,2017,QS
 University of Dundee,university of dundee,United Kingdom,2017,QS
"The University of Newcastle, Australia (UON)",the university of newcastle australia,Australia,2017,QS
University of Navarra,university of navarra,Spain,2017,QS
Macquarie University,macquarie university,Australia,2017,QS
Technical University of Darmstadt,technical university of darmstadt,Germany,2017,QS
Indian Institute of Technology Madras (IITM),indian institute of technology madras,India,2017,QS
National University of Ireland Galway,national university of ireland galway,Ireland,2017,QS
University of Massachusetts Amherst,university of massachusetts amherst,United States,2017,QS
Chulalongkorn University,chulalongkorn university,Thailand,2017,QS
RMIT University,rmit university,Australia,2017,QS
SOAS University of London ,soas university of london,United Kingdom,2017,QS
University of East Anglia (UEA),university of east anglia,United Kingdom,2017,QS
University of Miami,university of miami,United States,2017,QS
Beijing Normal University ,beijing normal university,China (Mainland),2017,QS
Saint Petersburg State University,saint petersburg state university,Russia,2017,QS
Norwegian University of Science And Technology,norwegian university of science and technology,Norway,2017,QS
Université de Strasbourg,universite de strasbourg,France,2017,QS
University of Surrey,university of surrey,United Kingdom,2017,QS
Université Diderot  Paris 7,universite diderot paris 7,France,2017,QS
Universität Stuttgart,universitat stuttgart,Germany,2017,QS
