university_id,university_name,country,source,year
U002889,University of Edinburgh,United Kingdom,THE,2023
U002108,Technical University of Munich,Germany,THE,2023
U002953,University of Hong Kong,Hong Kong,THE,2023
U002815,"University of California, San Diego",United States,THE,2023
U001247,LMU Munich,Germany,THE,2023
U003068,University of Melbourne,Australia,THE,2023
U001142,King’s College London,United Kingdom,THE,2023
U001423,"Nanyang Technological University, Singapore",Singapore,THE,2023
U001256,London School of Economics and Political Science,United Kingdom,THE,2023
U000728,Georgia Institute of Technology,United States,THE,2023
U002205,The University of Tokyo,Japan,THE,2023
U002800,University of British Columbia,Canada,THE,2023
U000579,École Polytechnique Fédérale de Lausanne,Switzerland,THE,2023
U001183,KU Leuven,Belgium,THE,2023
U002589,Universität Heidelberg,Germany,THE,2023
U001369,Monash University,Australia,THE,2023
U000413,Chinese University of Hong Kong,Hong Kong,THE,2023
U001316,McGill University,Canada,THE,2023
